First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,0,3.33,25%,10,57%,0,0%,0%,0
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,0,2.34,47%,3.36,43%,2.37,80%,50%,1.8
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,0,0,0%,0,0%,0,0%,0%,0
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,0,0,0%,0,0%,0,0%,0%,0
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,0,2.37,30%,4.17,48%,0,0%,46%,0
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0,0,3.18,44%,2.86,55%,0.67,33%,61%,0.3
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,0,2.13,26%,1.87,60%,0.5,16%,100%,0.5
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,0,0.83,25%,5,33%,0,0%,0%,0
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,0,3.53,37%,3.59,58%,0,0%,50%,0.3
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,0,4.38,43%,4.32,51%,1,37%,42%,0
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0,0,5.73,51%,4.96,48%,0,0%,100%,0
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,0,2.16,39%,2.76,57%,1.07,50%,45%,0.3
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,0,0.76,45%,1.97,27%,2.28,11%,0%,0
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,0,3.92,53%,2.08,58%,1.97,34%,67%,1.3
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,0,1.12,41%,3.65,40%,2.92,80%,72%,2.2
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,0,3.08,31%,3.14,51%,0.89,16%,48%,0.8
Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0,0,0,0%,0,0%,0,0%,0%,0
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,0,2.82,43%,1.39,71%,3.37,44%,80%,0.4
Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,0,3.74,71%,4.9,32%,1.75,12%,100%,0
Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,3,0,0,4.88,49%,5.1,53%,0.44,28%,100%,1.8
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,0,2.85,42%,3.09,52%,2.51,36%,65%,0.3
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,0,3.13,30%,4.56,46%,0,0%,33%,0
Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8,2,0,0,5.28,61%,3.06,58%,0,0%,72%,0
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,0,2.91,40%,3.23,49%,1.32,61%,62%,0.3
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,14,5,0,0,6.97,46%,4.36,57%,0,0%,85%,0.4
Bahatebole,Batebolati,Lion King,"5' 11""",155 lbs.,"71.0""",Southpaw,8,1,1,0,4.34,47%,4.62,64%,2.04,100%,100%,0
Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,0,1.56,20%,3.91,69%,1.5,33%,37%,0
Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,0,1.74,40%,0.29,0%,4.35,100%,0%,4.3
Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,0,0,0%,0,0%,0,0%,0%,0
Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,0,1.78,52%,2.83,45%,0.44,50%,37%,0.9
Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0,0,0,0%,0,0%,0,0%,0%,0
,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0,0,1.4,33%,2.73,50%,2,20%,66%,0
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,0,2.45,48%,2.7,55%,0.94,33%,37%,0
Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,0,4.2,47%,1.15,66%,0,0%,100%,1.9
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,0,0.79,50%,5.26,23%,0,0%,0%,0
Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,0,2.22,41%,4.79,41%,2.9,46%,62%,0.5
Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,0,2.72,38%,2.07,66%,0.49,33%,57%,0.5
Yohan,Banks,,--,--,--,,2,1,0,0,0,0%,0,0%,0,0%,0%,0
Shauna,Bannon,Mama B,"5' 5""",115 lbs.,"65.0""",Switch,5,1,0,0,3.6,37%,3.73,37%,0,0%,33%,0
Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,0,2.69,33%,3.15,58%,1.62,62%,86%,0.4
Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,0,3.78,36%,3.9,57%,1.49,41%,91%,0.5
Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,0,4.03,33%,8.46,34%,0,0%,0%,0
Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,13,2,0,0,4.6,52%,2.72,54%,1.14,35%,45%,0.1
Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,18,11,0,0,5.53,48%,4.74,44%,0.14,22%,49%,0.3
Dione,Barbosa,The Witch,"5' 6""",125 lbs.,"66.0""",Orthodox,6,2,0,0,0.87,50%,0.65,66%,3.27,100%,0%,9.8
Edson,Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,24,11,0,0,4.18,45%,4.34,57%,0.48,50%,75%,0.1
Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,17,5,0,0,5.38,51%,5.03,61%,1.8,37%,90%,0.4
Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,16,6,0,0,3.8,53%,5.32,55%,4.07,31%,91%,1.6
Danny,Barlow,LeftHand2God,"6' 2""",170 lbs.,"79.0""",Southpaw,7,0,0,0,12.15,57%,5.32,61%,0,0%,0%,0
Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,0,4.43,36%,3.87,59%,0.63,42%,63%,0.4
James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0,0,0.57,34%,3.02,39%,1.08,16%,40%,0
Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,0,2.86,29%,8.93,51%,5.36,100%,100%,5.4
Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1,0,2.32,38%,1.55,67%,0,0%,60%,0
Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,0,3.2,50%,2.11,57%,1.26,55%,55%,1.4
Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,8,0,0,4.41,48%,5.87,40%,0,0%,33%,0
Chris,Barnhizer,,--,--,--,,2,3,0,0,0,0%,0,0%,0,0%,0%,0
David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,0,1.17,30%,2.1,56%,0,0%,14%,0.7
Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,0,2.77,45%,3.93,40%,1.46,47%,60%,0.5
Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,0,0.8,70%,1.2,28%,1,8%,0%,0
Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,0,0,0%,0,0%,0,0%,0%,0
Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,0,4.18,61%,4.32,42%,1.39,22%,66%,0
Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,16,6,0,0,5.95,47%,5.22,53%,0.24,25%,67%,0.1
David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0,0,0,0%,0,0%,0,0%,0%,0
Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,0,0.98,40%,4.05,36%,1.84,50%,100%,0
Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0,0,0,0%,8.22,31%,0,0%,100%,0
Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,0,2.77,52%,3.07,59%,2.22,24%,83%,0
Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,0,2.72,52%,3.54,59%,0,0%,76%,0.2
Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0,0,9.31,40%,4.66,51%,0,0%,100%,0
Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,0,3.91,41%,2.97,68%,4.2,45%,66%,0.3
Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14,0,0,0,5.65,61%,2.5,63%,2.09,50%,85%,0.2
Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,11,0,0,0,5.2,63%,2.34,58%,3.5,53%,83%,0.4
Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,0,4.87,52%,5.87,55%,0,0%,0%,0
Sean,Bassett,,--,155 lbs.,--,,0,4,0,0,0,0%,0,0%,0,0%,0%,0
Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,0,0,0%,0,0%,0,0%,0%,0
Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,0,2.49,30%,6.36,51%,0.67,18%,44%,1.3
Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,0,0,0%,4.03,40%,6.72,50%,0%,0
Bryan,Battle,Pooh Bear,"6' 1""",170 lbs.,"77.0""",Orthodox,11,2,0,0,4.52,54%,3.73,42%,0.94,25%,45%,0.6
Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,3,0,0,5.36,58%,4.82,46%,0,0%,62%,0
Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,13,2,0,0,5.32,51%,4.2,53%,2.72,50%,56%,1.3
Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,0,3.45,35%,3.18,61%,1.6,58%,78%,0.2
Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0,0,0,0%,5.77,28%,0,0%,0%,0
Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,0,1.27,29%,2.53,50%,0,0%,0%,0
Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0,0,4.57,31%,3.83,58%,0,0%,66%,0
Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,0,4.44,34%,4.31,64%,0,0%,0%,0
Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,0,0.8,51%,0,100%,3.43,66%,100%,2.6
Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,0,6.37,35%,8.54,52%,0,0%,0%,0
Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,0,4.53,50%,1.75,63%,1.83,62%,62%,0
Rolando,Bedoya,The Machine,"5' 11""",170 lbs.,"74.0""",Orthodox,14,3,0,0,8.7,55%,6.83,52%,0,0%,0%,0
Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,0,2.17,38%,1.64,69%,2.49,42%,41%,0.9
Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,0,1.98,55%,1.61,54%,2.1,23%,64%,0.3
Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1,0,1.8,40%,7.73,34%,0,0%,25%,2
Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,0,2.43,41%,1.8,57%,3.98,52%,92%,0.4
Diana,Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68.0""",Orthodox,15,8,0,0,6.59,42%,6.43,51%,0.97,62%,69%,0
Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,0,2.7,41%,3.1,59%,0.44,26%,55%,0.9
Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,0,1.59,46%,2.83,50%,1.02,60%,53%,0.6
Yousri,Belgaroui,Baby Face Assassin,"6' 5""",185 lbs.,"79.0""",Orthodox,5,3,0,0,2.2,47%,3.2,51%,0,0%,75%,0
Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,11,2,0,0,5.39,62%,4.9,45%,0.82,25%,100%,0.8
Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,0,1.52,61%,4.79,41%,3.5,100%,50%,0
Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,0,4.92,36%,5.27,54%,0.48,18%,75%,0
Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,0,2.07,37%,1.93,63%,0.7,50%,46%,0.2
Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,0,3.52,34%,2.67,61%,1.41,30%,62%,0.6
Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,0,0,0%,3.32,53%,0,0%,0%,0
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,0,0,0%,0,0%,0,0%,0%,0
Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,0,0,0%,2.4,57%,0,0%,100%,0
Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,11,0,0,4.79,41%,4.05,65%,0.27,50%,58%,1.1
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,0,1.39,39%,1.35,64%,2.02,100%,36%,2
Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,0,2.9,40%,5.8,43%,1.5,100%,100%,0
DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,0,3.13,58%,3.27,58%,0,0%,0%,1
Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,0,3.68,51%,2.7,56%,1.5,33%,61%,0
Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,0,0,0%,0,100%,0,0%,0%,0
Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,0,2.88,39%,3.65,58%,0.28,22%,72%,0.4
Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,0,0,0%,0,0%,0,0%,0%,0
Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,0,0,0%,0,0%,0,0%,0%,0
Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,0,1,27%,3.26,36%,0.84,40%,16%,1.7
Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,0,4.56,75%,1.27,28%,0,0%,0%,0
Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,0,2.78,52%,2.78,37%,4.17,100%,50%,4.2
Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,0,3.58,36%,4.81,62%,1.76,40%,0%,0
Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,0,4.42,46%,3.07,59%,3.89,40%,82%,1.1
Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,0,2.92,61%,2.68,46%,3.06,54%,0%,3.1
Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,0,3.12,42%,4.04,55%,1.62,22%,28%,0.5
Dave,Berry,,--,--,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,0,0.27,12%,6.27,28%,0,0%,0%,0
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,0,0,0%,0,0%,0,0%,0%,0
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,0,1.76,36%,4.62,47%,5.47,40%,0%,2.7
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,0,0.92,80%,0.92,33%,6.87,100%,0%,3.4
Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,0,4.4,46%,6.8,67%,2,28%,0%,1
Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,0,0,0%,0,0%,0,0%,0%,0
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,0,4.36,41%,4.45,58%,0.64,28%,61%,0.3
Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,0,6.15,29%,10,43%,0,0%,0%,0
Fernando,Bettega,,--,170 lbs.,--,,7,5,0,0,0,0%,0,0%,0,0%,0%,0
Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,0,2.33,56%,3.25,59%,1.73,75%,100%,0
KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,0,4.31,49%,5.39,45%,0,0%,0%,0
Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,0,3.6,51%,1.83,52%,2.85,40%,75%,0
David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,0,1.11,57%,1.64,54%,2.65,63%,14%,0
Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,8,1,1,0,4.96,50%,4.54,56%,0.45,10%,100%,0.9
Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1,0,3.71,60%,3.36,57%,0,0%,100%,0
Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,0,1.6,62%,7.06,35%,0,0%,50%,0
Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,0,0,0%,0,0%,0,0%,0%,0
Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,0,3.93,36%,3.67,56%,0.48,14%,61%,0.5
Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,0,9.35,46%,14.83,35%,0,0%,0%,0
Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,0,4.33,38%,2.71,65%,1.05,43%,63%,0.3
Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,0,0,0%,0,0%,0,0%,0%,0
Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,0,0.29,16%,0.57,33%,0,0%,0%,0
Davi,Bittencourt,The Black,"5' 5""",135 lbs.,"65.0""",Orthodox,14,4,0,0,4.15,66%,1.51,46%,14.15,33%,0%,0
Simon,Biyong,,--,205 lbs.,--,,7,1,0,0,0,0%,0,0%,0,0%,0%,0
Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,29,10,1,0,3.41,50%,2.91,53%,1.09,50%,68%,0.3
Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,0,1.06,47%,2.6,45%,0.48,33%,28%,6.2
Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,0,4.55,35%,3.59,65%,0.93,50%,76%,0.7
Jason,Blackford,,--,--,--,,3,3,0,0,0,0%,0,0%,0,0%,0%,0
Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,0,2.91,61%,2.55,46%,0,0%,75%,0
Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,0,3.7,49%,3.13,55%,4,33%,42%,0
Da'Mon,Blackshear,The Monster,"5' 10""",135 lbs.,"72.0""",Switch,14,6,1,0,4.28,47%,4.09,48%,2.34,37%,66%,0.8
Erin,Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66.0""",Orthodox,12,1,0,0,5.58,52%,3.32,62%,2.86,36%,83%,1.2
Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,0,4.11,44%,3.19,66%,1.85,36%,63%,0.3
David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,0,0,0%,0,0%,0,0%,0%,0
Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,17,4,0,0,3.56,49%,1.89,59%,5.93,53%,33%,0
Tereza,Bleda,,"5' 9""",125 lbs.,"71.0""",Orthodox,7,1,0,0,3.02,53%,1.86,46%,1.81,27%,83%,0.7
Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,0,2.31,43%,2.1,43%,0,0%,55%,0.6
Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,0,1.82,28%,5.18,50%,0,0%,0%,0
Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,0,0,0%,52.5,12%,0,0%,0%,0
Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,0,2.06,44%,1.74,34%,2.44,42%,0%,1.6
Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,0,2.34,43%,2.32,60%,3.65,36%,31%,1.3
Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,0,2.63,31%,5.11,58%,1.14,15%,62%,0
James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,0,0.65,26%,3.64,21%,0,0%,0%,0
Jeremy,Boczulak,,--,--,--,,0,2,0,0,0,0%,0,0%,0,0%,0%,0
Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,0,2.93,50%,2.9,57%,1.45,34%,59%,0.8
Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,0,3.63,45%,3.63,54%,2.37,100%,50%,0
Jay,Bogan,,--,145 lbs.,--,,6,6,0,0,0,0%,0,0%,0,0%,0%,0
Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,0,3.33,42%,4.4,44%,1,9%,50%,0
Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,0,0,0%,0,0%,0,0%,0%,0
Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,0,0,0%,0,0%,0,0%,0%,0
Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,8,2,0,0,2.51,45%,3.24,60%,0.72,18%,75%,0.7
Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,0,2.47,42%,2.8,53%,0,0%,0%,0
Gaston,Bolanos,The Dreamkiller,"5' 7""",135 lbs.,"69.0""",Orthodox,7,3,0,0,4.2,49%,1.13,56%,0,0%,40%,0
Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,0,7.27,52%,7.27,45%,0,0%,0%,0
Denys,Bondar,Psycho,"5' 6""",125 lbs.,"69.0""",Orthodox,16,5,0,0,4.89,45%,6.42,56%,2.75,50%,62%,0
Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,0,3.35,51%,2.04,62%,0,0%,0%,1.8
Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,0,0.62,33%,12.62,10%,0,0%,0%,0
Gabriel,Bonfim,Marretinha,"6' 1""",170 lbs.,"72.0""",Orthodox,15,1,0,0,4.87,40%,5.25,59%,4.75,71%,100%,3.8
Ismael,Bonfim,Marreta,"5' 8""",155 lbs.,"71.0""",Orthodox,19,4,0,0,4.91,57%,2.66,76%,1.11,28%,81%,0
Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,0,2.91,62%,1.01,50%,1.51,33%,33%,0
Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,0,0.47,12%,0.47,94%,0,0%,0%,0
Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,0,2.76,38%,3.01,52%,1.32,40%,60%,1
Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,16,4,0,0,2.63,52%,3.27,50%,2.9,60%,51%,1
Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,0,1.52,52%,1.93,48%,3.89,50%,46%,1
Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,0,0,0%,0,0%,0,0%,0%,0
Kevin,Borjas,El Gallo Negro,"5' 5""",125 lbs.,"68.0""",Orthodox,9,2,0,0,5.4,41%,6.63,49%,0,0%,56%,0
Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,0,0,0%,0,0%,0,0%,0%,0
Caio,Borralho,The Natural,"5' 10""",185 lbs.,"75.0""",Southpaw,15,1,0,0,2.73,58%,1.98,60%,2.16,63%,57%,0.5
Zachary,Borrego,The Dragon,"6' 2""",185 lbs.,"78.0""",Switch,3,1,0,0,0,0%,1.94,33%,0,0%,0%,0
Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"69.0""",Orthodox,7,3,1,0,5.82,58%,4.07,56%,0,0%,36%,0
Tanner,Boser,The Bulldozer,"6' 2""",205 lbs.,"75.0""",Orthodox,21,10,1,0,4.7,52%,2.75,58%,0,0%,63%,0
Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,0,5.99,52%,5.38,50%,0.92,33%,100%,0
Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,0,0,0%,0,0%,0,0%,0%,0
Chris,Bostick,,--,--,--,,6,3,0,0,0,0%,0,0%,0,0%,0%,0
Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,0,2.9,58%,2.8,54%,0.85,57%,76%,0
Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,0,0,0%,1.05,77%,0,0%,0%,0
Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,0,0.27,21%,1.53,36%,0,0%,50%,0
