First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Reuben,Duran,,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1,0,3.19,49%,2.61,50%,0.98,23%,25%,0.7
Cody,Durden,,"5' 7""",125 lbs.,"67.0""",Southpaw,16,4,1,0,3.13,49%,2.94,52%,5.41,50%,80%,0.4
Luiz,Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,13,6,1,0,3.92,50%,4.8,41%,0,0%,100%,0
Rilley,Dutro,,"5' 8""",125 lbs.,--,Orthodox,11,4,0,0,4.74,54%,5.95,33%,0,0%,83%,0
Bill,Duvall,,"6' 2""",185 lbs.,--,Southpaw,1,2,0,0,0,0%,2.4,40%,0,0%,0%,0
Merab,Dvalishvili,The Machine,"5' 6""",135 lbs.,"68.0""",Orthodox,16,4,0,0,4.46,41%,2.41,56%,6.55,36%,78%,0.3
David,Dvorak,Undertaker,"5' 5""",125 lbs.,"68.0""",Orthodox,20,6,0,0,3.48,43%,3.29,59%,0.58,30%,70%,0.2
Matt,Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0,0,2.57,34%,3.24,54%,0.44,10%,60%,0
Rolando,Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1,0,3.04,37%,4.47,52%,0.3,20%,68%,0
Ben,Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0,0,0.5,55%,0.2,33%,3,100%,0%,0
Cody,East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0,0,4.15,43%,7.32,40%,3.97,100%,16%,0
Marvin,Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1,0,2.21,35%,3.92,42%,1.38,33%,81%,0
Mike,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0,0,3.51,37%,4.28,61%,0.75,22%,66%,0
Maurice,Eazel,,"5' 7""",135 lbs.,--,,7,15,0,0,0,0%,0,0%,0,0%,0%,0
Vincent,Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0,0,0,0%,0,0%,0,0%,0%,0
Ross,Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0,0,0.74,50%,0.74,62%,3.7,100%,0%,0
