First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Andrew,Sanchez,El Dirte,"6' 1""",185 lbs.,"74.0""",Orthodox,13,7,0,0,4.30,43%,5.10,50%,2.55,36%,100%,0.0,20,MiddleWeight,3251
Robert,Sanchez,Littlefury,"5' 6""",125 lbs.,"66.0""",Orthodox,8,2,0,0,0.96,40%,1.78,46%,3.61,62%,50%,0.7,10,FlyWeight,3252
Jesse,Sanders,,"6' 0""",170 lbs.,--,Orthodox,23,7,0,0,0.00,0%,6.45,35%,0.00,0%,50%,0.0,30,WelterWeight,3253
Luke,Sanders,Cool Hand,"5' 6""",135 lbs.,"67.0""",Southpaw,13,5,0,0,6.61,52%,4.37,50%,0.71,30%,72%,0.2,18,BantamWeight,3254
Jerrod,Sanders,J-Reazie,"5' 8""",135 lbs.,"72.0""",Orthodox,16,3,0,0,0.88,64%,1.14,46%,2.20,33%,50%,1.6,19,BantamWeight,3255
Cory,Sandhagen,,"5' 11""",135 lbs.,"70.0""",Switch,17,4,0,0,5.33,44%,3.40,58%,1.36,33%,64%,0.3,21,BantamWeight,3256
Hugo,Sandoval,,--,135 lbs.,--,,2,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,BantamWeight,3257
Raul,Sandoval,,--,130 lbs.,--,,3,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,BantamWeight,3258
Joseph,Sandoval,,"5' 7""",135 lbs.,--,Southpaw,7,7,0,0,1.82,42%,12.12,60%,0.00,0%,0%,0.0,14,BantamWeight,3259
Hector,Sandoval,Kid Alex,"5' 2""",125 lbs.,"64.0""",Orthodox,14,4,0,0,3.31,52%,2.33,65%,3.49,25%,71%,1.4,18,FlyWeight,3260
Chris,Sanford,,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,0.23,50%,3.22,17%,0.00,0%,0%,3.5,6,MiddleWeight,3261
Roldan,Sangcha'an,The Executioner,"5' 4""",125 lbs.,--,Orthodox,4,2,0,0,2.71,46%,2.15,51%,1.94,60%,68%,0.0,6,FlyWeight,3262
Yuhi,Sano,,"5' 11""",243 lbs.,--,Orthodox,0,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,HeavyWeight,3263
Martin,Sano,Spartan,"5' 11""",170 lbs.,"75.0""",Orthodox,4,3,1,0,4.00,33%,12.00,40%,0.00,0%,0%,0.0,8,WelterWeight,3264
Jonathan,Santa Maria,,"5' 9""",125 lbs.,--,,3,4,0,0,3.60,51%,2.53,74%,0.00,0%,80%,0.0,7,FlyWeight,3265
Duda,Santana,Cowboyzinha,"5' 7""",145 lbs.,"73.0""",Orthodox,3,1,0,0,6.01,39%,2.72,73%,6.44,60%,0%,0.0,4,FeatherWeight,3266
Shaheen,Santana,Shazam,"6' 1""",155 lbs.,"75.0""",Orthodox,6,1,0,0,0.82,42%,1.65,40%,0.00,0%,0%,2.8,7,LightWeight,3267
Sean,Santella,Shorty Rock,"5' 5""",125 lbs.,--,,17,6,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,24,FlyWeight,3268
Jorge,Santiago,The Sandman,"6' 1""",170 lbs.,"75.0""",Orthodox,25,12,0,0,1.69,35%,2.62,56%,0.58,30%,52%,0.8,37,WelterWeight,3269
Mike,Santiago,,"5' 10""",145 lbs.,"69.0""",Orthodox,19,12,0,0,3.44,49%,3.58,36%,2.66,50%,53%,1.1,31,FeatherWeight,3270
Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,Orthodox,9,5,0,0,1.47,39%,5.53,56%,1.00,50%,100%,0.0,14,MiddleWeight,3271
Richie,Santiago,The Milford Mauler,"5' 7""",135 lbs.,"67.0""",Southpaw,7,2,0,0,3.87,49%,4.87,42%,0.00,0%,25%,0.0,9,BantamWeight,3272
Jose,Santibanez,,--,155 lbs.,--,,10,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,13,LightWeight,3273
